id;code;full_name;ten_huy;ten_thuong;gender;life_status;generation;lineage_path;birth_solar;birth_lunar_json;death_solar;death_lunar_json;grave_info;grave_lat;grave_lng;biography;notes;privacy;linked_user_id;version
12;frank;convection;lonely;but briskly educated;department;search when;20265;about squid around;2026-07-15;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;32431.96;12538.68;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;wedding feline;ew hungrily;8127
13;cellar dimly;lounge aha;till why from;pendant angrily pneumonia;amnesty sadly;scary;1541;gadzooks lest;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11139.29;32304.03;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bright;below hence live;9249
14;nun serve;starch whose as;pillbox uh-huh ornery;sense thoughtfully;forgo;deceivingly near next;19004;scrutinise corner;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;26972.63;5957.96;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rejoin pertinent;furthermore phooey;77
15;roundabout joyously;scale even since;noteworthy worst everlasting;helplessly yippee medium;pull shout round;whoever zany likewise;11506;aha yowza even;2026-07-16;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;15045.62;30705.93;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;probate until;hateful below formal;8
16;delightfully;gently;given ah;wonderfully opposite;deduction equally writhing;lay;11099;gosh crushing hence;2026-07-16;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6585.33;21016.72;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;smooth silver aw;besides er punctually;3638
17;come;construe;fathom;crafty;citizen;anti;28803;thump tectonics pfft;2026-07-16;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;27810.55;27132.79;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;object so mammoth;that role that;28461
18;tray wasteful;stir-fry;productive;offset;softly as;vulgarise verbally viciously;6186;mechanically indeed;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;19430.87;21997.54;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;suddenly uncork;mmm;28891
19;likewise;into etch;instead as lest;search quarterly if;brr abaft;next expansion geez;10097;sizzle;2026-07-15;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;31558.45;13536.16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fatally extremely beside;reconstitute given especially;8849
20;wholly;lobotomise amongst plain;since unruly excepting;notwithstanding consequently;geez;trash hoof yuck;24274;hmph punctuation;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;26727.8;12271.15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;zowie fuss lender;by;25166
21;whoever;however amid;plan amongst supposing;mantua inside;at boohoo granular;grouchy drive pish;25654;far cornet;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7559.31;25260.25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;next zesty;put;27192
22;smoothly before complete;sashay overcoat toward;grubby hungrily;absent;because likable;disloyal;12381;glimmer gust;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;23657.53;22824.13;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;webbed;experience guest;24968
23;beneath;out;cosset oof;ha;as phooey;why;24786;hence best-seller;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8937.65;9065.23;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;honored hydrant manipulate;demonstrate;3894
24;furthermore zowie;underpants so drab;granular entrench scarcely;over hydrant populist;before nor wrongly;atrium entice;8588;until ha once;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;24647.21;7109.08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;trivial guide;till;31731
25;short-term;monumental beneath;oh hunt woot;yum absent;almost gah;confiscate desk safeguard;26275;legal shakily kiddingly;2026-07-15;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8258.55;32524.18;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;notwithstanding dead darling;grade;24465
26;simple while excepting;solder scrap;although really cow;dirty;rightfully hmph;meander oh jovially;16522;eventually stylish sans;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;14295.32;8246.96;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rigidly acidly;after;23256
27;worthless evil;gah zowie;astride splash important;hm;hepatitis;lest remark creaking;7981;a;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6065.35;16340.02;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;on;along infatuated;14163
28;as;properly outdo outlying;editor mesh;lightly rout pants;fathom boohoo;than;28423;abnegate yet;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;460.27;10176.35;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;for finding;substitution accidentally;21416
29;solder augment grade;disconnection mentor;limply formation;vision burdensome;a finally;reword;5121;aw yet;2026-07-16;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;15349.36;25724.02;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;jealously case focused;or regarding merit;27665
30;boohoo;next till;as;unto;since jump;silt;26032;excluding;2026-07-16;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1269.58;2284.12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;intensely dislocate citizen;nautical soap essay;20158
